               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10998,            0.075359,             0.10558,                   0,                   0,                   0,                   0,             0.10466,             0.04813,             0.10298,                   0,                   0,                 0.1
                   1,             0.11068,            0.071343,             0.10549,                   0,                   0,                   0,                   0,             0.10467,            0.048115,             0.10298,           9.967e-05,           9.967e-05,              0.0991
                   2,             0.10984,            0.069655,             0.10605,                   0,                   0,                   0,                   0,             0.10467,            0.048115,             0.10298,          0.00019868,          0.00019868,            0.098199
                   3,             0.11052,            0.074894,             0.10751,                   0,                   0,                   0,                   0,             0.10467,            0.048116,             0.10298,          0.00029703,          0.00029703,            0.097297
                   4,             0.10934,            0.072238,             0.10552,                   0,                   0,                   0,                   0,             0.10466,            0.048119,             0.10298,          0.00039472,          0.00039472,            0.096395
                   5,             0.11048,            0.074175,             0.10557,                   0,                   0,                   0,                   0,             0.10466,            0.048124,             0.10298,          0.00049175,          0.00049175,            0.095492
                   6,             0.11038,            0.072149,             0.10561,                   0,                   0,                   0,                   0,             0.10465,            0.048129,             0.10298,          0.00058812,          0.00058812,            0.094588
                   7,             0.10891,            0.074809,             0.10523,                   0,                   0,                   0,                   0,             0.10463,            0.048137,             0.10298,          0.00068383,          0.00068383,            0.093684
                   8,             0.10759,             0.07707,              0.1041,                   0,                   0,                   0,                   0,             0.10462,            0.048147,             0.10298,          0.00077888,          0.00077888,            0.092779
                   9,             0.10886,            0.067716,             0.10486,                   0,                   0,                   0,                   0,              0.1046,            0.048156,             0.10298,          0.00087327,          0.00087327,            0.091873
                  10,             0.10779,            0.077317,             0.10418,                   0,                   0,                   0,                   0,             0.10458,            0.048168,             0.10298,            0.000967,            0.000967,            0.090967
                  11,              0.1074,            0.074064,             0.10409,                   0,                   0,                   0,                   0,             0.10456,            0.048181,             0.10298,           0.0010601,           0.0010601,             0.09006
                  12,             0.10672,            0.068766,             0.10426,                   0,                   0,                   0,                   0,             0.10453,            0.048194,             0.10298,           0.0011525,           0.0011525,            0.089152
                  13,             0.10645,            0.079926,             0.10349,                   0,                   0,                   0,                   0,              0.1045,             0.04821,             0.10298,           0.0012442,           0.0012442,            0.088244
                  14,             0.10629,            0.079756,             0.10384,                   0,                   0,                   0,                   0,             0.10446,            0.048227,             0.10298,           0.0013353,           0.0013353,            0.087335
                  15,             0.10567,            0.074765,             0.10351,                   0,                   0,                   0,                   0,             0.10442,            0.048248,             0.10298,           0.0014257,           0.0014257,            0.086426
                  16,             0.10615,            0.078184,             0.10344,                   0,                   0,                   0,                   0,             0.10437,            0.048268,             0.10298,           0.0015155,           0.0015155,            0.085516
                  17,             0.10555,            0.071351,              0.1041,                   0,                   0,                   0,                   0,             0.10432,            0.048289,             0.10297,           0.0016046,           0.0016046,            0.084605
                  18,             0.10503,            0.075723,             0.10346,                   0,                   0,                   0,                   0,             0.10427,            0.048313,             0.10297,           0.0016931,           0.0016931,            0.083693
                  19,             0.10448,            0.079042,             0.10331,                   0,                   0,                   0,                   0,             0.10421,            0.048342,             0.10297,           0.0017809,           0.0017809,            0.082781
                  20,             0.10451,            0.084334,             0.10324,                   0,                   0,                   0,                   0,             0.10414,            0.048374,             0.10296,            0.001868,            0.001868,            0.081868
                  21,             0.10444,            0.071148,             0.10325,                   0,                   0,                   0,                   0,             0.10407,            0.048409,             0.10296,           0.0019545,           0.0019545,            0.080954
                  22,             0.10406,            0.085028,             0.10332,                   0,                   0,                   0,                   0,             0.10399,            0.048451,             0.10295,           0.0020403,           0.0020403,             0.08004
                  23,             0.10377,            0.082725,              0.1033,                   0,                   0,                   0,                   0,             0.10391,            0.048495,             0.10295,           0.0021254,           0.0021254,            0.079125
                  24,             0.10449,            0.077185,             0.10289,                   0,                   0,                   0,                   0,             0.10382,            0.048538,             0.10294,           0.0022099,           0.0022099,             0.07821
                  25,             0.10401,            0.081937,             0.10314,                   0,                   0,                   0,                   0,             0.10374,             0.04858,             0.10293,           0.0022938,           0.0022938,            0.077294
                  26,             0.10402,            0.066515,             0.10298,                   0,                   0,                   0,                   0,             0.10365,             0.04862,             0.10292,           0.0023769,           0.0023769,            0.076377
                  27,             0.10381,            0.086521,             0.10293,                   0,                   0,                   0,                   0,             0.10356,            0.048666,             0.10291,           0.0024594,           0.0024594,            0.075459
                  28,             0.10348,            0.073639,             0.10301,                   0,                   0,                   0,                   0,             0.10347,             0.04871,              0.1029,           0.0025413,           0.0025413,            0.074541
                  29,              0.1031,            0.075693,               0.103,                   0,                   0,                   0,                   0,             0.10337,            0.048752,             0.10289,           0.0026225,           0.0026225,            0.073622
                  30,             0.10304,            0.079521,               0.103,                   0,                   0,                   0,                   0,             0.10328,            0.048794,             0.10288,            0.002703,            0.002703,            0.072703
                  31,             0.10266,            0.078852,             0.10276,                   0,                   0,                   0,                   0,             0.10319,            0.048835,             0.10286,           0.0027829,           0.0027829,            0.071783
                  32,             0.10308,            0.071807,             0.10236,                   0,                   0,                   0,                   0,             0.10309,            0.048871,             0.10285,           0.0028621,           0.0028621,            0.070862
                  33,             0.10312,            0.076672,             0.10276,                   0,                   0,                   0,                   0,             0.10299,            0.048911,             0.10283,           0.0029406,           0.0029406,            0.069941
                  34,             0.10118,            0.075069,             0.10273,                   0,                   0,                   0,                   0,             0.10289,            0.048954,             0.10282,           0.0030185,           0.0030185,            0.069019
